课程提醒 | Tableau 数据分析入门级速成课、让您的数据突破单元格的限制,
立即报名 | 8 月 10 日 Salesforce 制造行业客户网络峰会,
Tableau Public | 七月 Viz 优秀作者大赏，结识出色的数据达人快速提升你的可视化水平,
如何衡量、标记和构建一个数据驱动型组织,http://mpvideo.qpic.cn/0b78cuaauaaadeaffealwrqvafodbikqacqa.f10002.mp4?dis_k=a3633af2239f0a13c6e0b85ed9c99cc1&dis_t=1628564918
在 Tableau Online 中快速启用 Salesforce 连接,
终极预告！Tableau Live 大中华区数据峰会精彩日程曝光，8.12 我们线上见,
8 月 Tableau 网络讲座最新上线，即刻报名提升你的数据技能！,
立即报名 | 8 月 10 日 Salesforce 制造行业客户网络峰会,
水墨笔画的魅力！跟着 Tableau 走近中国书法艺术,
【Viz Challenge】2021 年第二期获奖结果新鲜出炉，透过数据解读职场热门话题！,http://mpvideo.qpic.cn/0bf2meaaeaaatuaizi7xwfqfayodajqqaaqa.f10002.mp4?dis_k=3e1f90048dce60676498593fa6b584e7&dis_t=1628564922
Tableau Live | 峰会超强嘉宾阵容惊艳亮相，即刻报名点燃你的数据热情！,
开课啦！8 月 Tableau 网络讲座最新上线，速度报名~,
立即报名 | 8 月 10 日 Salesforce 制造行业客户网络峰会,
Tableau 携手合作伙伴京沪线下首聚，探讨如何释放数据价值，驱动企业数字化转型,
预测分析的力量将如何改变业务,
【2021 第二期 Viz Challenge】入围作品新鲜出炉，快来为你喜爱的作品投上一票！,http://mpvideo.qpic.cn/0bf2iiaaqaaak4ai6rpxunqfaqwdbbbaacaa.f10002.mp4?dis_k=30a0b130590f3249c1459d87bb72c31b&dis_t=1628564925
『Tableau Live 传播有礼』全 “数” 出击，星动好礼带回家！,
立即报名 | 7 月 21 日金融行业线下研讨会上海站 “创新应用场景，深挖数据价值”,
课程提醒 | 本周三 Tableau 故事慧 “详细级别表达式：Tableau 高手必经之路”,
解锁幸福密码！Tableau 透过数据带你寻找答案,
将数据解释的强大功能带给每一位 Tableau 用户！,
“数据问答” 功能重磅升级，专注于为用户带来愉悦的体验,
立即报名 | 7 月 21 日 Tableau 故事慧 “详细级别表达式：Tableau 高手必经之路”,
释放数据价值！8 月 12 日 Tableau Live 大中华区数据峰会全新数据探索之旅即将启航,
【立即报名】周四下午 2 点 Tableau 数据分析入门级速成课,
【课程提醒】周二下午 2 点银行业风险控制网络分享会,
立即报名 | 7 月 21 日金融行业线下研讨会上海站 “创新应用场景，深挖数据价值”,
错过不用等明年！Tableau IT 直播大会视频回放精彩上线，干货资料马上收入囊中！,
使用集合功能，为您的数据制作 “歌单”,
立即报名 | 7 月 21 日 Tableau 故事慧 “详细级别表达式：Tableau 高手必经之路”,
如何在 Linux 系统中使用 Docker 容器部署 Tableau Server,
倒计时 1 天 | Tableau IT 直播大会蓄势待发，立即报名 Get 十足数据干货！,
倒计时 2 天 | Tableau IT 直播大会蓄势待发，立即报名 Get 十足数据干货！,
立即报名 | 7 月 7 日北京站线下研讨会、7 月 13 日银行业风险控制网络分享会,
倒计时 3 天！Tableau IT 直播大会精彩 Session 诚意推荐,
想靠吃瘦躺赢？用 Tableau 证明没什么是不可能的,
倒计时 5 天 | 2021 年第二期 Viz Challenge 即将截稿，各路大奖等你拿！,
倒计时一周 | 2021 年第二期 Viz Challenge 即将截稿，各路大奖等你拿！,
立即报名 | 7 月 7 日 “数据驱动型企业从现代商业分析平台开始” 北京站线下研讨会,
扩展增强分析，帮助更多人从自己的数据中获得答案,http://mpvideo.qpic.cn/0bf2faabaaaajyapp7o3mbqfakgdcauaaeaa.f10002.mp4?dis_k=b9e32105a8a30234bf978f1dd26978e9&dis_t=1628564937
立即报名 | 7 月 7 日 “数据驱动型企业从现代商业分析平台开始” 北京站线下研讨会,
大咖讲师带你玩转数据，Tableau IT 直播大会精彩 Session 诚意推荐！,
课程提醒 | 6 月 29 日零售业网络讲座、7 月 13 日银行业风险控制网络分享会,
不拍童话靠什么赚钱？用数据滤镜看迪士尼电影,
Tableau 2021.2 正式发布，立即体验面向 Viewer 的 “数据问答” 和 “数据解释”、集合等新功能,http://mpvideo.qpic.cn/0bf2uiad6aaazuakjtospnqfbiwdh6raapya.f10002.mp4?dis_k=d6156c8e021fe67ff6b3696e739b39f8&dis_t=1628564940
如何创建一个数据领导委员会，让所有人达成共识,
Tableau IT 直播大会嘉宾阵容、日程安排全揭秘，即刻报名开启非凡数据之旅,
课程提醒 | 零售行业分享，可视化分析入门，Tableau Prep 网络实践,
立即报名 | 6 月 25 日 Tableau 故事慧 “解构 Tableau 的绘图逻辑”,
坐上时光列车，透过数据一探中生代恐龙的奥秘！,
如何将 Tableau 连接到 Salesforce CDP，以获得更深入的客户洞察,
【Viz Challenge】2021 年第二期火热开启，透过可视化和 Tableau 一起探讨职场问题,
课程提醒 | 银行、零售行业分享，可视化分析入门，Tableau Prep 网络实践,
立即报名 | 6 月 25 日 Tableau 故事慧 “解构 Tableau 的绘图逻辑”,
离开地球表面！和 Tableau 一起探索人类航天史,
2021 Iron Viz 数据大赛重磅回归，全球数据舞台等你来挑战！,http://mpvideo.qpic.cn/0b78giaakaaataansf6bizqfamwdauzaabia.f10002.mp4?dis_k=aaa9be32a2ad0c42c68f426d9a8c2950&dis_t=1628564947
立即报名 | 6 月 25 日 Tableau 故事慧 “解构 Tableau 的绘图逻辑”,
Tableau Public | 五月 Viz 优秀作者大赏，可视化达人带你寻找创作灵感,
充实一“夏”！2021 Tableau IT 直播大会热力来袭，这场专属技术咖的数据盛宴缺你不可,
课程提醒 | 银行业数字化转型、可视化分析入门、Tableau Prep 网络实践,
看 UFC 只会看个热闹？Tableau 带你从内行视角看终极格斗,
解密！5 大硬核技巧助力 Tableau 在 Gartner BI 大会中脱颖而出,http://mpvideo.qpic.cn/0b78jmaaeaaapqaeyw5yhbqfas6dajfqaaqa.f10002.mp4?dis_k=19358ff159bfbf76679dd00f7acdf162&dis_t=1628564950
Beta 版新功能：在 Tableau Public 中通过 Web 创作节省时间,http://mpvideo.qpic.cn/0b78eqaawaaatyacbpnxfvqfajgdbmsaacya.f10002.mp4?dis_k=6c5a365cbe0216f7c6db240dbfff0ed6&dis_t=1628564951
Tableau 助力一汽-大众升级管理、提升效率，赋能传统车企数字化转型,
学习贴！Tableau 6 月培训课程最新上线，即刻报名提升你的数据技能,
百老汇也玩 “速度与激情” ？和 Tableau 一起感受音乐剧的魅力,
【Viz Challenge】2021 年第一期获奖结果重磅揭晓，一起开启碳中和分析之旅！,
立即报名！6 月 3 日 Tableau 数据分析入门级网络速成课程,
Tableau Catalog 新功能：改进的搜索功能和自动生成数据质量警告,
数据领导力合作社区全新上线，帮助组织建立蓬勃发展的数据文化,
倒计时 1 天！“博学数据 高效办公” 新书发布会即将开启,
课程提醒 | 周四下午 2 点网络分享会：银行业数字化转型、让您的数据突破单元格的限制,
邀请函｜“博学数据 高效办公” 新书发布会等你来参与,
告别剧荒！Tableau 带你探索 Netflix 上的高分好剧,
Tableau Prep 新增功能：隐藏列、更多的日期转换方式、清晰的错误消息,
【2021 第一期 Viz Challenge】入围作品出炉，快投出宝贵的一票 Pick 你最喜爱的作品吧！,http://mpvideo.qpic.cn/0bf2aqahiaaavqab7m5dpnqfabgdoqcaa5aa.f10002.mp4?dis_k=b6c63df7ed9ea4a5d0d23d4f76e3111f&dis_t=1628564958
日产通过 Tableau 建立企业数据文化，在每个经销点实现分析普及,http://mpvideo.qpic.cn/0b78lqabwaaajqaaolndbvqfaxgddnoaagya.f10002.mp4?dis_k=7f00bea1ad1529588adc9fd55d9d1e07&dis_t=1628564959
课程提醒 | 5 月 27 日网络分享会：银行业数字化转型、让您的数据突破单元格的限制,
